"filename", "language", "JavaScript", "TypeScript", "JSON", "Prisma", "Markdown", "TypeScript JSX", "JSON with Comments", "XML", "SQL", "CSS", "comment", "blank", "total"
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\fields\date-field.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 20, 251
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\fields\number-field.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 18, 248
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\fields\paragraph-field.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 23, 146
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\fields\select-field.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 308, 0, 0, 0, 0, 0, 21, 329
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\fields\separator-field.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 8, 43
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\fields\space-field.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 16, 125
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\fields\sub-title-field.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 23, 140
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\fields\text-field.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 25, 249
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\fields\textarea-field.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 0, 19, 276
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\fields\title-field.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 23, 140
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\form-builder.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 13, 126
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\form-elements-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\form-elements.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 9, 75
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\form-share-link.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 7, 37
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\form-submit-component.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 14, 115
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\hooks\use-designer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\preview-dialog-btn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\provider\ThemeProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\publish-form-btn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 6, 70
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\save-form.btn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 6, 43
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\sidebar-btn-element.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 7, 45
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 15, 142
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 6, 57
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 6, 65
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 9, 80
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 14, 123
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 25, 177
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 7, 32
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 13, 122
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 11, 115
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 8, 56
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 13, 128
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\ui\use-toast.ts", "TypeScript", 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31, 193
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\components\visit-btn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 7, 26
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\lib\db.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\lib\idGenerator.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\lib\utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\middleware.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 11
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\next.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\package-lock.json", "JSON", 0, 0, 6115, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6116
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\package.json", "JSON", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\prisma\migrations\20231028090710_init_db\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 4, 6, 32
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\prisma\migrations\20231103092008_some_changes\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 9, 2, 13
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\prisma\schema.prisma", "Prisma", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 7, 37
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\public\graph-paper-dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\public\graph-paper.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\schemas\form-schemas.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\tailwind.config.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 76
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\tailwind.config.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Ajayi\Desktop\Nextjs Projects\formbuilder\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 2, 1, 28
"Total", "-", 87, 359, 6190, 30, 23, 4746, 25, 2, 24, 48, 23, 753, 12310
